title,abstract,domain,technologies,Year,source_url
Social Media Sentiment Analysis for Brands,A data analytics dashboard that scrapes social media platforms and uses sentiment analysis to gauge public perception of a brand or product.,"Data Science, NLP","Python, BeautifulSoup, NLTK, Dash, Plotly",2024.0,
Secure File Storage on Cloud using Hybrid Cryptography,A web application that encrypts user files using a combination of AES and RSA algorithms before uploading them to cloud storage for enhanced security.,"Cybersecurity, Web Dev","JavaScript, React, Node.js, Crypto.js, AWS S3",2023.0,
Fitness Trainer App with Pose Estimation,A mobile app that uses computer vision to track a user's exercise form in real-time and provides corrective feedback.,"AI, Mobile Dev","Python, OpenPose/TensorFlow.js, React Native, Firebase",2024.0,
Smart Traffic Management System,An IoT-based system that uses computer vision to analyze real-time traffic flow and dynamically control traffic signals to reduce congestion.,"IoT, AI","Python, OpenCV, YOLO, Raspberry Pi, Flask",2023.0,
NFT Marketplace for Digital Art,"A full-stack web application where artists can mint, list, and sell their digital art as NFTs on a blockchain network.","Blockchain, Web Dev","Solidity, Hardhat, IPFS, React, Ethers.js",2024.0,
Liver Disease Prediction using ML,"A predictive model that analyzes patient medical records (age, enzymes, etc.) to assess the risk of liver disease with high accuracy.","Data Science, Healthcare","Python, Pandas, Scikit-learn, XGBoost, Streamlit",2023.0,
Gesture-Based Presentation Controller,A computer vision application that allows users to control PowerPoint or Google Slides presentations using hand gestures via a webcam.,"AI,","Python, OpenCV, MediaPipe, PyAutoGUI",2024.0,
Decentralized File Sharing Application,"A peer-to-peer file-sharing system built on blockchain technology, ensuring privacy and security without a central server.","Blockchain,","WebRTC, Node.js, React, Gun.js (or IPFS)",2023.0,
Web Scraper and Data Visualizer for Job Market,"A tool that scrapes job posting sites, analyzes in-demand skills and trends, and presents the data through interactive visualizations.","Data Science, Web Dev","Python, Selenium, Pandas, Tableau/Power BI, Flask",2024.0,
Biometric Attendance System with Face Recognition,A system that automates attendance tracking for organizations or classrooms using facial recognition technology.,"AI,","Python, Face Recognition library, Django, SQLite",2023.0,
IoT-Based Weather Monitoring Station,"A device that collects real-time weather data (temperature, humidity, pressure) and displays it on a web dashboard with historical charts.","IoT, Web Dev","ESP32, Sensors, Node-RED, MongoDB, HTML/CSS/JS",2024.0,
Phishing Website Detection Browser Extension,A lightweight browser extension that checks URLs in real-time against machine learning models and blacklists to warn users of phishing sites.,"Cybersecurity, AI","JavaScript, Python (Flask API), TensorFlow.js, Manifest V3",2023.0,
VR Museum Tour,An immersive virtual reality experience that allows users to explore a museum and interact with exhibits from anywhere in the world.,"AR/VR,","Unity3D, C#, Oculus VR SDK, Blender",2024.0,
Credit Card Fraud Detection System,A machine learning model trained on historical transaction data to identify and flag potentially fraudulent transactions in real-time.,"Data Science, AI","Python, Scikit-learn, Imbalanced-learn, Flask, PostgreSQL",2023.0,
AI-Powered Resume Builder,A web app that analyzes a user's skills and experience to suggest optimal resume templates and content improvements for specific job roles.,"AI, Web Dev","NLP (spaCy), React, Node.js, MongoDB, OpenAI API",2024.0,
Smart Blind Stick with Obstacle Detection,An IoT device for the visually impaired that uses ultrasonic sensors to detect obstacles and provide haptic or audio feedback.,"IoT,","Arduino, Ultrasonic Sensors, Buzzer, Vibration Motor",2023.0,
Mental Health Chatbot Companion,"An AI-driven chatbot that provides initial mental health support, conducts mood checks, and suggests resources based on conversational cues.","AI, NLP","Python, Rasa/ChatGPT API, Dialogflow, Flask, Firebase",2024.0,
Supply Chain Tracking with Blockchain,"A blockchain system to track the provenance and journey of products (e.g., food, medicine) from manufacturer to consumer, ensuring authenticity.","Blockchain,","Ethereum, Solidity, React, Web3.js, Truffle",2023.0,
Campus Navigation AR App,A mobile application that uses augmented reality to overlay directions and information about buildings onto the live camera feed for new students.,"AR/VR, Mobile Dev","Unity, ARCore/ARKit, Google Maps API, Firebase",2024.0,
Personalized Learning Path Generator,"An AI system that creates customized learning curricula for students based on their goals, current knowledge, and learning pace.","AI, Web Dev","Python, Reinforcement Learning, React, Node.js, MongoDB",2024.0,
IoT-Based Smart Parking System,"A system that uses sensors to detect vacant parking spots and relays this information to a mobile app, reducing time spent searching for parking.","IoT,","Ultrasonic Sensors, ESP32, Firebase, Android Studio",2023.0,
Sentiment-Based Music Player,"A music player application that recommends playlists and songs based on the user's current mood, detected through facial expression analysis.","AI,","Python, OpenCV, DeepFace, Spotify API, PyGame",2024.0,
Secure Multi-Party Computation Platform,A web-based platform that allows multiple parties to jointly perform computations on their private data without revealing the data to each other.,"Cybersecurity, Blockchain","Python, PySyft, Flask, React, Cryptography libraries",2023.0,
Drone-Based Delivery Simulator,"A simulation environment that models drone delivery routes, optimizing for speed and battery life while avoiding obstacles.","AI, Simulation","Python, PyGame, OpenAI Gym, Reinforcement Learning",2024.0,
Blockchain-Based Digital Notary,"A service that uses blockchain to create an immutable, timestamped record of the existence of a digital document at a specific point in time.","Blockchain,","Ethereum, Solidity, Metamask, React, IPFS",2023.0,
Real-Time Stock Market Predictor,A system that uses LSTM neural networks to analyze historical stock data and news sentiment to predict short-term price movements.,"Data Science, AI","Python, TensorFlow, Keras, Yahoo Finance API, Streamlit",2024.0,
AI-Powered Legal Document Analyzer,"An NLP tool that summarizes long legal documents, extracts key clauses, and identifies potential risks or anomalies.","AI, NLP","Python, spaCy, Transformers, FastAPI, Vue.js",2023.0,
Smart Waste Management System,"IoT bins that monitor waste levels and send alerts to collection services, optimizing collection routes and frequencies.","IoT,","Ultrasonic Sensors, LoRaWAN, The Things Network, Node.js",2024.0,
Passwordless Authentication System,A web app that implements FIDO2/WebAuthn standards for secure passwordless login using biometrics or security keys.,"Cybersecurity, Web Dev","JavaScript, Node.js, Express, WebAuthn, MongoDB",2023.0,
Crop Disease Detection using UAV Imagery,"A system where a drone captures farm images, and an AI model processes them to identify early signs of crop diseases.","AI, IoT","Python, TensorFlow, DroneKit, OpenCV, Django",2024.0,
Decentralized Social Media Platform,"A social networking platform built on blockchain where users own their data and content, and are rewarded for their engagement.","Blockchain, Web Dev","Solidity, IPFS, React, GraphQL, The Graph",2023.0,
Employee Attrition Predictor,A data science project that analyzes HR data to predict which employees are at high risk of leaving the company.,"Data Science,","Python, Pandas, Scikit-learn, SHAP, Dash",2024.0,
Real-Time Sign Language Translator,A computer vision application that translates sign language gestures captured via webcam into text and speech in real-time.,"AI,","Python, MediaPipe, LSTM, TensorFlow, PyGame",2023.0,
Smart Mirror with Personal Assistant,"A mirror equipped with a display that shows news, weather, calendar events, and responds to voice commands.","IoT,","Raspberry Pi, Two-way mirror, Python, APIs, MagicMirror²",2024.0,
Cloud-Based Network Intrusion Detection System,An IDS that monitors network traffic in a cloud environment (AWS/Azure) and uses ML to detect anomalous and malicious patterns.,"Cybersecurity, Cloud","Python, Scikit-learn, AWS Lambda, VPC Flow Logs, Kinesis",2023.0,
Virtual Try-On for Eyewear,A web app that uses augmented reality to allow users to virtually try on different pairs of glasses using their device's camera.,"AR/VR, Web Dev","JavaScript, TensorFlow.js, 8th Wall, Three.js, HTML/CSS",2024.0,
Predictive Analytics for Retail Sales,"A model that forecasts future product sales based on historical data, seasonality, and promotional events to optimize inventory.","Data Science,","Python, Prophet, Statsmodels, Tableau, Flask",2023.0,
AI-Based Content Moderator,An automated system that moderates user-uploaded content (images & text) on platforms to flag inappropriate or harmful material.,"AI, NLP","Python, TensorFlow, CNN, Transformers, Flask",2024.0,
Self-Checkout System for Retail Stores,"A computer vision system that automatically identifies products placed in a checkout area and generates a bill, reducing wait times.","AI,","Python, OpenCV, YOLO, SQLite, Tkinter",2023.0,
GDPR Compliance Checker for Websites,A tool that crawls a website and audits its pages for compliance with data privacy regulations like GDPR and CCPA.,"Cybersecurity, Web Dev","Python, Scrapy, BeautifulSoup, Regex, Django",2024.0,
Emotion-Based Dynamic Lighting System,An IoT system that adjusts the color and intensity of smart lights in a room based on the detected emotional tone of playing music.,"IoT, AI","Raspberry Pi, Spotify API, OpenCV (for mood), Philips Hue API",2023.0,
Blockchain-Based Royalty Distribution for Artists,A smart contract system that automatically distributes royalties to artists and contributors whenever their music is sold or streamed.,"Blockchain,","Solidity, Chainlink, React, Node.js, Spotify API",2024.0,
AI-Powered Interview Preparation Platform,"A platform that conducts mock interviews using AI avatars, provides feedback on answers, and analyzes body language and tone.","AI, NLP","Python, Transformers, OpenCV, React, Flask",2023.0,
Smart Water Quality Monitoring,"An IoT device that floats on water bodies to measure pH, turbidity, and temperature, sending alerts if pollution levels are high.","IoT,","Arduino, pH Sensor, Turbidity Sensor, LoRa, ThingSpeak",2024.0,
Dark Web Monitoring Tool for Credential Leaks,A cybersecurity tool that scans the dark web for leaked credentials associated with a company's domain and alerts the security team.,"Cybersecurity,","Python, Tor, Scrapy, Django, PostgreSQL",2023.0,
3D Pose Estimation for Sports Analytics,"A system that analyzes video of athletes to create 3D skeletal models for analyzing form, technique, and preventing injuries.","AI, Computer Vision","Python, OpenCV, MediaPipe, Blender, TensorFlow",2024.0,
Decentralized Autonomous Organization (DAO) Framework,A full-stack implementation of a DAO where members can vote on proposals and manage a shared treasury using cryptocurrency.,"Blockchain, Web Dev","Solidity, Hardhat, React, Ethers.js, Graph Protocol",2023.0,
Real-Time Public Sentiment Analysis during Events,"A dashboard that tracks and visualizes public sentiment on Twitter/X during live events like debates, sports matches, or product launches.","Data Science, NLP","Python, Tweepy API, VaderSentiment, Socket.io, Dash",2024.0,
AI-Powered Code Explainer and Documentation Generator,A tool that takes code snippets and automatically generates human-readable explanations and documentation.,"AI, NLP","Python, OpenAI Codex/GPT API, Streamlit, Pygments",2023.0,
AI-Powered Customer Support Chatbot,"A context-aware chatbot that handles customer queries, retrieves relevant information from knowledge bases, and escalates complex issues.","AI, NLP","Python, Rasa, Spacy, PostgreSQL, React",2024.0,
IoT-Based Asset Tracking System,A system using GPS and RFID tags to track the real-time location and status of valuable assets in a logistics network.,"IoT,","Arduino, GPS Module, RFID, LoRaWAN, Cloud Firestore",2023.0,
Deepfake Video Detection Tool,A web application that uses deep learning models to analyze videos and determine the likelihood of them being deepfakes.,"AI, Cybersecurity","Python, TensorFlow, OpenCV, Streamlit, CNN",2024.0,
Personal Finance Manager with AI Insights,"An app that aggregates users' financial transactions, categorizes them, and uses AI to provide personalized savings and investment insights.","Data Science, Web Dev","Python, Plaid API, Scikit-learn, React, Node.js",2023.0,
Automated Essay Scoring System,"An NLP-based system that grades student essays by evaluating content, coherence, grammar, and style, providing instant feedback.","AI, NLP","Python, BERT, NLTK, Flask, SQLite",2024.0,
Smart Restaurant Ordering System,"A system where customers can scan a QR code, order food from a digital menu, and pay online, reducing waiter dependency.","Web Dev, IoT","React Native, Node.js, Stripe API, QR Code Generator, MongoDB",2023.0,
Network Packet Analyzer with Anomaly Detection,"A tool that captures network packets, analyzes them in real-time, and flags suspicious activity using machine learning.","Cybersecurity,","Python, Scapy, Scikit-learn, PyQt, Wireshark",2024.0,
VR Safety Training for Industrial Workers,A virtual reality simulation that trains workers on safety protocols for hazardous environments like construction sites or factories.,"AR/VR,","Unity3D, Oculus Quest, C#, Blender",2023.0,
Image-Based Plant Species Identifier,A mobile app that allows users to take a picture of a plant and uses a CNN model to identify its species and provide care information.,"AI, Mobile Dev","Python, TensorFlow Lite, React Native, Firebase",2024.0,
Blockchain-Based Academic Certificate Verification,"A system to issue and verify academic degrees and certificates on a blockchain, preventing fraud and simplifying employer checks.","Blockchain,","Ethereum, Solidity, React, IPFS, MetaMask",2023.0,
Real-Time Collaborative Code Editor,"A web-based IDE that allows multiple developers to edit code simultaneously, with features like syntax highlighting and video chat.","Web Dev,","Node.js, Express, Socket.io, React, CodeMirror",2024.0,
AI-Powered Game Bot,"An AI agent that learns to play classic video games (e.g., Snake, Flappy Bird) using reinforcement learning algorithms.","AI,","Python, PyGame, OpenAI Gym, TensorFlow",2023.0,
Smart Baby Monitor with Analytics,"An IoT device that monitors a baby's vitals, sleep patterns, and room conditions, providing insights and alerts to parents' phones.","IoT, Data Science","Raspberry Pi, Sensors, AWS IoT, React Native, Python",2024.0,
Zero-Knowledge Proof Authentication Demo,A practical implementation of a zero-knowledge proof protocol to demonstrate authentication without exchanging passwords.,"Cybersecurity, Blockchain","Python, ZKP libraries (zk-SNARKs), Flask, Cryptography",2023.0,
Language Learning App with Speech Recognition,An app that helps users learn a new language by practicing pronunciation with real-time speech recognition and feedback.,"AI, Mobile Dev","JavaScript, React Native, Web Speech API, Firebase",2024.0,
API Security Testing Scanner,"An automated tool that scans REST APIs for common security vulnerabilities like SQL injection, broken authentication, and misconfigurations.","Cybersecurity,","Python, Requests, SQLMap, OWASP ZAP API, Django",2023.0,
Market Basket Analysis for Retail,A data mining project that analyzes transaction data to discover product associations and recommend strategic product placements.,"Data Science,","Python, MLxtend, Pandas, Jupyter Notebook, Apriori Algorithm",2024.0,
AI-Powered Music Composer,A system that generates original music compositions in various genres based on mood and style parameters set by the user.,"AI,","Python, Magenta (TensorFlow), Flask, MIDI",2023.0,
Remote Desktop Application with Low Latency,A lightweight remote desktop client and server that provides smooth control over a remote machine with secure encryption.,"Web Dev, Cybersecurity","C++, Qt framework, WebRTC (optional), OpenSSL",2024.0,
Wildlife Detection System for Road Safety,An IoT system that uses cameras and motion sensors near roads to detect animals and alert drivers via dynamic signboards.,"IoT, AI","Raspberry Pi, Camera Module, TensorFlow Lite, LoRa, LED Matrix",2023.0,
AI-powered Virtual Dressing Room,"Allows users to try clothes virtually using their phone camera, estimating size & fit with cloth simulation.","Computer Vision,AI"," Unity, Python, MediaPipe",2025.0,
Smart Road Surface Monitoring,"Sensors & cameras monitor road surfaces, detect potholes/cracks and notify maintenance departments.","Edge AI,IoT"," Raspberry Pi, OpenCV, MQTT",2025.0,
Employee Well-Being Feedback Bot,"A chatbot that periodically checks employee mood, analyzes feedback and suggests improvements.","NLP,AI"," Python, Rasa, React",2024.0,
Blockchain Supply Chain Traceability,Tracks product origin & movements on blockchain to ensure transparency and reduce fraud.,Blockchain,"Solidity, Ethereum, Web3.js, IPFS, Node.js",2025.0,
Personalized Travel Planner,"Recommends itineraries based on user preferences, budget & current events; integrates map & scheduling.",Data Science,"Python, Flask, Google Maps API, React",2024.0,
Smart Grid Load Balancing System,Adjusts power loads dynamically using predicted demand to reduce wastage and peak loads.,IoT,"ML, Python, TensorFlow, MQTT, PLCs",2025.0,
AI Tutor for Dyslexic Students,"Detects reading difficulties, adapts content with text-to-speech & visuals tailored to learner.","Speech,AI"," NLP, Python, PyTorch, Flutter",2025.0,
Secure Microservices Authentication Gateway,"Single gateway for authorizing microservice flows with JWT, rate-limits, and logging.",Cybersecurity,"Node.js, OAuth2, JWT, Docker, Kubernetes",2024.0,
Deep Learning Audio Source Separation,Separates vocals and instruments from music tracks using DL; allows remixing or karaoke.,"Audio Processing,AI"," Python, PyTorch, Librosa",2025.0,
Autonomous Boat for Water Sampling,Robot boat navigates lakes/rivers and collects water quality samples automatically.,Robotics/IoT,"Arduino, GPS, Sensors, Python, ML",2025.0,
Food Waste Prediction for Restaurants,Predict daily demand & leftover for restaurants to reduce waste & optimize supply orders.,Data Science,"Python, R, Time-series models, Flask",2024.0,
IoT-Based Smart Lighting for Offices,Adaptive lighting based on occupancy & natural light to save energy and enhance comfort.,IoT,"Sensors, ESP32, MQTT, Cloudflare Workers, Dashboard",2025.0,
Facial Recognition for School Attendance,"Identifies students at entrance, logs attendance automatically and flags anomalies.","Computer Vision, AI","OpenCV, Python, JWT, Database",2024.0,
Disaster Relief Resource Allocation Tool,"Optimizes distribution of relief supplies using demand, geography & logistics constraints.","Optimization,Data Science"," Python, OR-Tools, GIS, React",2025.0,
Ticket Fraud Detection System,Detects bots or fake sellers in ticketing platforms using anomaly detection & user behavior analysis.,"Cybersecurity,AI"," Python, Scikit-learn, Spark, Dashboard",2025.0,
Virtual Reality Exposure Therapy,"VR app to help treat phobias, PTSD by gradual exposure with clinician customization.",AI/Health,"Unity, VR SDK, C#, Python backend",2024.0,
Smart Elderly Fall Detection,Wearable + computer vision detect falls in elderly; sends alerts to caregivers.,"Computer Vision,IoT"," Python, TinyML, Mobile",2025.0,
Automated Agricultural Drone Spraying,Drone maps fields and sprays pesticide/fertilizer intelligently where needed.,IoT/Robotics,"DroneKit, OpenCV, Python, GPS",2025.0,
Multi-Lingual Sign Language Translator,Translates sign language gestures to text/speech for multiple regional signs.,"Computer Vision,AI"," MediaPipe, TensorFlow, React Native",2024.0,
Smart Contract Audit Tool,Scans smart contracts for security vulnerabilities automatically before deployment.,Cybersecurity,"Solidity, Static Analysis, Slither, Python, Web frontend",2025.0,
AI-Driven Fashion Trend Forecasting,Predicts upcoming fashion trends using social media & image data; creates style forecasts.,"Computer Vision,AI"," Python, CNNs, Twitter API, Dashboard",2024.0,
Health-Monitoring Smartwatch App,Continuously tracks vitals; detects irregularities and pushes alerts / medical advice.,Mobile/Health,"Android/iOS, React Native, TensorFlow Lite, BLE",2025.0,
Secure Cloud Backup with Client-Side Encryption,Files are encrypted before cloud upload; user owns keys and has zero-knowledge privacy.,"Encryption,Cybersecurity"," AWS S3, Python, Web frontend, React",2025.0,
Real-Time Wildlife Poacher Detection,Camera traps + ML detect poacher movement patterns and send alerts to rangers.,"Edge AI,AI/IoT"," OpenCV, Raspberry Pi, LoRa",2025.0,
Interactive VR Museum Guide,"Guided tours via VR, with 3D reconstructions & audio narration depending on user location.",VR/Web,"Unity, C#, 3D scanning, Audio Processing",2024.0,
Optimized Route Planner for Delivery fleets,Minimize fuel/time using VRP heuristics; handle real-time traffic and constraints.,Data Science,"Optimization, Python, OR-Tools, Google Maps API",2025.0,
IoT Soil Health Monitoring,"Sensor array measures pH, moisture, minerals; data drives adaptive fertilizer recommendation.",IoT,"Sensors, Arduino, Python, ML, Dashboard",2025.0,
AI Music Therapy Companion,Generates personalized music & meditative audio based on user mood detected via voice/facial cues.,"Audio,AI"," Python, Deep Learning, React Native",2024.0,
Smart Retail Checkout without Barcode,"Uses computer vision to identify items, tally price automatically at checkout.","Computer Vision, AI","Python, TensorFlow, Edge-devices",2025.0,
Privacy-Aware Face Recognition Lock,Local face recognition system unlocks device/home; does not upload images to cloud.,"Security,AI"," OpenCV, Python, Local Storage",2024.0,
Augmented Reality Learning Platform,AR app to teach complex STEM topics (chemistry/physics) via interactive visualizations.,AR/Education,"Unity, ARKit/ARCore, C#, Python",2025.0,
Fake Product Detection in E-commerce,Image/text analysis to detect counterfeit product listings using ML models.,"Computer Vision, NLP,AI"," Python, Scraping, Dashboard",2025.0,
Smart Kitchen Appliance Scheduler,"Schedules appliance usage (oven, dishwasher etc.) to off-peak hours; integrates with energy pricing.","Embedded C,IoT"," Python, Home Assistant, MQTT",2024.0,
Language Learning Chatbot with Speech,"Conversational agent that teaches language, practices pronunciation and gives feedback.","Speech,AI"," Python, Speech-to-text, Text-to-speech, React",2025.0,
Automated Traffic Ticketing System,"Cameras + ML detect violations (speeding, red light); issue electronic tickets automatically.","Computer Vision, AI","Python, OpenCV, Flask",2024.0,
IoT-based Disaster Prediction Using Weather Data,Uses sensor networks and weather forecasts to predict flood/storm risk locally.,IoT,"ML, Python, Sensors, Dashboard",2025.0,
Cybersecurity Honeypot Network Simulator,Simulates honeypots to trap attacker traffic and analyze behavior.,Cybersecurity,"Python, Docker, Network Tools, ELK stack",2025.0,
Blockchain Microfinance Lending Platform,Peer-to-peer small loans with transparency & smart contracts; includes repayment tracking.,Blockchain,"Solidity, Ethereum, Web3.js, React",2024.0,
Real-Time Language Translation Glasses,Smart glasses that translate written text or speech in one language to another via display.,"Computer Vision,AI"," Embedded, Python, AR",2025.0,
Gesture Controlled Drone,Control drone via gestures for rescue operations or inspections.,"Computer Vision,Robotics"," ROS, Python, DroneKit",2024.0,
AI-Based Music Remixing Tool,"Automatically remixes songs based on user preferences, detecting beats, style etc.","Audio DL,AI"," Python, Librosa, TensorFlow, Web UI",2025.0,
Smart Locker System with Biometric Access,Biometric (fingerprint/face) unlocks lockers; sends alerts if authentication fails.,IoT/Cybersecurity,"Raspberry Pi, OpenCV, Python, Flask",2024.0,
Smart Water Leak Detection in Buildings,Sensors detect leaks; system shuts off valves and notifies residents.,IoT,"Arduino, MQTT, Mobile app",2025.0,
AI-enabled Debate Coach,"Analyzes speeches for argument structure, tone, suggests improvements.","Speech/NLP, AI","Python, Transformer models, Web UI",2024.0,
Remote Patient Monitoring via IoT,Wearables + sensors stream vitals to doctors; alerts for anomalies.,IoT/Health,"ESP32, BLE, MQTT, Python, Dashboard",2025.0,
Smart Trash Sorting Robot,Robot sorts recyclable from non-recyclable waste using CV and mechanical actuators.,"Computer Vision,Robotics"," Python, ROS, Arduino",2024.0,
Interactive Storytelling with AI illustrations,Generates illustrations for stories in real-time as user types or speaks.,"Generative Models,AI"," Python, DALL-E style tools, Web frontend",2025.0,
Supply Chain Optimization via Blockchain,"Use blockchain for secure, transparent contracts plus data analytics to optimize supply routes.",Data Science/Blockchain,"Python, Solidity, Ethereum, SQL, React",2025.0,
Smart Traffic Violation Detection using ANPR,Cameras automatically read number plates and flag vehicles violating rules.,"Computer Vision, AI","OpenCV, Python, Flask",2024.0,
AI-driven Telemedicine Portal,"Video consults, symptom checker, remote diagnostics; integrates imaging and secure data storage.",AI / Web / Health,"Python, Django, OpenCV, WebRTC, React",2025.0,
IoT Smart Garden with Weather Prediction,Garden monitors weather and automates watering & shading.,IoT,"ESP32, Python, ML, Cloud backend",2025.0,
Fraud Detection in Insurance Claims,Detect exaggerated claims via statistical & ML anomaly detection.,Data Science,"Python, Scikit-learn, R, Dashboard",2024.0,
Augmented Reality Navigation for Visually Impaired,Overlay guidance audio + haptics via mobile device to assist navigation.,AR/Mobile,"ARKit/ARCore, Unity, React Native, Python",2025.0,
AI-powered News Bias Detector,"Analyzes news articles’ tone, sources, classification to detect bias.","NLP, AI","Python, Transformers, React",2024.0,
Remote Learning Analytics Dashboard,"Analytics for student engagement, time-on-task, assignment trends in remote learning platforms.",Data Science,"Python, Dash, SQL, React",2025.0,
Emotion Recognition for Call Centers,Analyses voice & speech to detect caller emotion; suggests responses for agents.,"Audio-NLP, AI","Python, Librosa, PyTorch, Flask",2024.0,
Secure Voting Using Blockchain & Biometric Auth,Combines biometric login + blockchain for voter data privacy & integrity.,"Crypto, Blockchain","Solidity, Biometrics, React",2025.0,
Predictive Maintenance for Factory Equipment,Sensors detect wear & anomalies; schedule maintenance before failures.,IoT,"ML, Python, MQTT, Sensor network, Dashboard",2024.0,
Real-time Crowd Density Estimation,Computer vision system estimates crowd size in public events for safety control.,"Computer Vision,AI"," Python, OpenCV, Edge device",2025.0,
Personalized News Podcast Generator,"Summarize news and convert to speech, allow users to pick topics & listen as podcasts.","NLP, AI","TTS, Python, Flask, React",2024.0,
Smart Helmet for Construction Safety,"Helmet with sensors to detect hazardous gases, impacts; sends alerts.","Embedded C,IoT"," Sensors, BLE, Mobile app",2025.0,
Automatic Propaganda Image Detection,ML model flags images with propaganda content; useful in media watchdogs.,"Computer Vision,NLP, AI"," Python, Transformer, Flask",2025.0,
Food Donation Matching Platform,Matches surplus food providers with needy institutions; optimizes logistics.,Web/Community,"Python, Django, React, GIS",2024.0,
AI-based Eyeglass Prescription from Lens Images,Analyzes pictures of eyes to suggest corrective lens prescription.,"Computer Vision, AI","TensorFlow, Python, Mobile",2025.0,
Real-Time Sign Language Learning Game,Gamifies learning sign language including gesture recognition & feedback.,"Computer Vision, AI/Mobile","Python, React Native, MediaPipe",2025.0,
Water Pollution Monitoring via Drones,Drones sample air/water quality and map polluted zones periodically.,"Drone, IoT","Sensors, Python, GIS, Dashboard",2024.0,
Deep Learning Handwriting Stylometry,Recognize writing style to identify authorship or history via handwritten text.,"Computer Vision, AI","Deep Learning, Python, TensorFlow",2025.0,
AI Chatbot for Legal Advice,Provides general legal guidance & document templates; flags when professional counsel needed.,"NLP,AI"," Python, Transformer models, Web frontend",2024.0,
Predictive Analytics for HR Attrition,Predict which employees are likely to resign based on survey & performance data.,Data Science,"Python, Scikit-learn, Dash, SQL",2025.0,
IoT-based Flood Gate Control System,Automates flood gates depending on water level and predicted flood risk.,IoT,"Sensors, Arduino, ML, MQTT, Dashboard",2025.0,
Automatic Subtitle Generator with Emotion Tags,Adds emotion / tone tags to subtitles in videos for better contextual understanding.,"Speech/NLP, AI","Python, Whisper, OpenCV, Web UI",2024.0,
Inventory Management with Demand Forecasting,"Forecast stock needs, auto reorder, optimize storage.",Data Science,"Python, Time-series models, SQL, React",2025.0,
Robotic Arm Controlled via Brain-Computer Interface,Uses EEG to control robotic arm for disabled users.,AI/Robotics,"EEG, Python, ROS, Hardware",2024.0,
Virtual Try-On Eyewear App,AR filters let users try sunglasses/glasses virtually.,AR/Mobile,"ARKit/ARCore, Unity, Python, React Native",2025.0,
Smart Blind Aid using Ultrasonic Sensors,Wearable device assists visually impaired with obstacle detection and feedback.,"Embedded Systems, IoT","Python, Sensors, BLE, Mobile",2024.0,
AI-based Fake News Generation Detector,Detect adversarial fake news; includes generation detection & source reliability scoring.,"NLP, AI","Python, Transformer models, Hugging Face",2025.0,
Smart Inventory Drone for Warehousing,Drone scans warehouse shelves and updates inventory autonomously.,"Computer Vision,Robotics"," Python, DroneKit, ROS",2025.0,
Personalized Book Recommender via Content & Reviews,Recommends books based on past reading and user reviews.,"Recommendation Systems,AI"," Python, NLP, React",2024.0,
Smart Traffic Signal Timing via Computer Vision,Detect vehicles in intersections and adjust lights dynamically.,"Computer Vision,AI"," OpenCV, Python, Edge device",2025.0,
